timestamp,price
2025-10-09 14:42:05.130,121724.0945019455
2025-10-09 14:47:22.607,121174.77765250456
2025-10-09 14:52:00.666,121206.37016978778
2025-10-09 14:56:00.554,121302.74451383548
2025-10-09 15:00:17.643,121363.29636580577
2025-10-09 15:07:01.476,121539.96481649691
2025-10-09 15:11:51.464,121429.30607006961
2025-10-09 15:16:23.334,121358.83940041257
2025-10-09 15:21:51.395,121299.61569232076
2025-10-09 15:26:56.600,121192.38266722801
2025-10-09 15:30:54.713,121056.2466096726
2025-10-09 15:35:32.307,120971.61040114227
2025-10-09 15:41:01.328,120922.79422232315
2025-10-09 15:48:01.489,120927.58908851165
2025-10-09 15:52:35.649,121089.37814175109
2025-10-09 15:56:01.703,121244.36621279705
2025-10-09 16:01:24.262,121192.61184310442
2025-10-09 16:07:42.288,121325.26877132192
2025-10-09 16:13:01.233,121368.07144167078
2025-10-09 16:16:21.994,121286.17754881922
2025-10-09 16:20:43.841,121387.94408529099
2025-10-09 16:26:17.767,121134.09758312801
2025-10-09 16:32:21.970,121235.83103793162
2025-10-09 16:35:54.770,121219.91224515057
2025-10-09 16:41:12.439,121234.4165643416
2025-10-09 16:46:12.600,120858.39822603077
2025-10-09 16:50:14.029,120765.7149490885
2025-10-09 16:58:05.141,120322.04794974093
2025-10-09 17:03:02.046,120000.99233954889
2025-10-09 17:06:18.085,119966.95678739242
2025-10-09 17:11:42.499,120231.55757556247
2025-10-09 17:18:01.746,120274.60733246605
2025-10-09 17:22:04.620,120478.20381601967
2025-10-09 17:26:01.390,120406.49363390992
2025-10-09 17:32:01.827,120383.45797041354
2025-10-09 17:35:13.078,120396.46108151188
2025-10-09 17:42:31.677,120594.92926339965
2025-10-09 17:47:27.157,120518.38816923357
2025-10-09 17:50:42.910,120663.60205178583
2025-10-09 17:56:58.637,120776.57159636542
2025-10-09 18:02:55.067,120866.97440229179
2025-10-09 18:05:24.098,120847.70875523906
2025-10-09 18:12:02.459,120871.49164106807
2025-10-09 18:17:52.574,120908.53337172646
2025-10-09 18:21:01.498,120844.01759088278
2025-10-09 18:27:53.410,120810.68657061875
2025-10-09 18:32:22.971,120695.51475748727
2025-10-09 18:36:11.840,120489.02057237129
2025-10-09 18:40:11.945,120575.659070485
2025-10-09 18:47:32.858,120593.64941520414
